Stock,Year,Recruits,Spawners
Stock9,1984,0.033071,0.004335
Stock9,1985,0.004319,0.001484
Stock9,1986,10.814466,2.34523
Stock9,1987,3.895414,0.617325
Stock9,1988,0.008219,0.005007
Stock9,1989,0.012858,0.00057
Stock9,1990,7.728193,3.717673
Stock9,1991,0.865206,1.255791
Stock9,1992,0.019909,0.012996
Stock9,1993,0.015343,0.001367
Stock9,1994,2.607292,1.370677
Stock9,1995,0.771116,0.428875
Stock9,1996,0.061102,0.012466
Stock9,1997,0.034429,0.001072
Stock9,1998,7.162244,1.389271
Stock9,1999,0.698802,0.34354
Stock9,2000,0.001388,0.000855
Stock9,2001,0.007698,0.004858
Stock9,2002,7.441039,5.532263
Stock9,2003,0.132424,0.381278
Stock9,2004,0.001935,0.002994
Stock9,2005,0.032714,0.021113
Stock9,2006,17.49356711,1.43832
Stock9,2007,0.210359,0.061043
Stock9,2008,0.009168,0.000164
Stock9,2009,0.378538,0.032481
Stock9,2010,8.573809,7.519018
Stock9,2011,NA,0.165695
Stock9,2012,NA,0.000012
Stock9,2013,NA,0.152981
Stock9,2014,NA,2.208068
Stock9,2015,NA,0.009688
Stock10,1948,0.19199,0.083787
Stock10,1949,0.237158,0.070504
Stock10,1950,0.214749,0.06444
Stock10,1951,0.173801,0.021296
Stock10,1952,0.213941,0.047041
Stock10,1953,0.118877,0.042491
Stock10,1954,0.146171,0.018213
Stock10,1955,0.228353,0.014553
Stock10,1956,0.251198,0.049754
Stock10,1957,0.042835,0.014536
Stock10,1958,0.086069,0.015166
Stock10,1959,0.225156,0.026159
Stock10,1960,0.130133,0.036838
Stock10,1961,0.084468,0.031681
Stock10,1962,0.074421,0.026369
Stock10,1963,0.330206,0.048893
Stock10,1964,0.311035,0.048908
Stock10,1965,0.123803,0.01623
Stock10,1966,0.216335,0.020116
Stock10,1967,0.411254,0.039876
Stock10,1968,0.253589,0.057947
Stock10,1969,0.690379,0.037382
Stock10,1970,0.562013,0.030656
Stock10,1971,0.292244,0.024629
Stock10,1972,0.471597,0.054516
Stock10,1973,0.165326,0.056653
